method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
ours (watershed),SKOV3_Phase_E4_1_00d04h00m_3.tif,0.2958078291630249,46,65,13,0.5411764705882353,0.7615596289144596,111,59
ours (watershed),Huh7_Phase_A12_1_00d20h00m_3.tif,0.2995207502458502,45,21,62,0.5202312138728323,0.8325298257703012,66,107
ours (watershed),SHSY5Y_Phase_A10_1_01d16h00m_3.tif,0.3032984861232484,237,148,188,0.5851851851851851,0.6436212942227956,385,425
ours (watershed),SkBr3_Phase_G3_2_01d16h00m_1.tif,0.3060274814248309,314,37,46,0.8832630098452883,0.7865626926891218,351,360
ours (watershed),Huh7_Phase_A12_2_04d00h00m_4.tif,0.3089952739838308,41,61,20,0.5030674846625767,0.7277728778433059,102,61
ours (watershed),SHSY5Y_Phase_A10_2_01d12h00m_1.tif,0.3114219219842702,138,126,160,0.491103202846975,0.6883660786042322,264,298
ours (watershed),SkBr3_Phase_G3_1_01d20h00m_3.tif,0.3141810295563809,236,47,24,0.8692449355432781,0.887685672486536,283,260
ours (watershed),MCF7_Phase_H4_2_02d00h00m_3.tif,0.3154993471372599,272,143,88,0.7019354838709677,0.7184488538489151,415,360
ours (watershed),SKOV3_Phase_E4_2_00d08h00m_2.tif,0.3190905915373649,51,73,20,0.5230769230769231,0.757984184521254,124,71
ours (watershed),BT474_Phase_D3_1_03d04h00m_4.tif,0.3236079871885817,163,79,66,0.692144373673036,0.7177089698816655,242,229
ours (watershed),SHSY5Y_Phase_A10_2_01d20h00m_3.tif,0.3294207156905809,153,178,139,0.4911717495987159,0.6727857971335768,331,292
ours (watershed),MCF7_Phase_H4_1_02d00h00m_1.tif,0.3314834697333926,283,91,179,0.6770334928229665,0.7458600608448034,374,462
ours (watershed),SkBr3_Phase_G3_1_02d00h00m_3.tif,0.3352176300262214,260,27,24,0.9106830122591943,0.8621328981145826,287,284
ours (watershed),SKOV3_Phase_F4_1_00d08h00m_3.tif,0.3387570954436227,50,48,12,0.625,0.778822451079134,98,62
