method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
Cellpose,MCF7_Phase_H4_1_00d16h00m_2.tif,0.1681999506938327,125,26,16,0.8561643835616438,0.8121709152381212,151,141
Cellpose,SHSY5Y_Phase_A10_2_01d00h00m_3.tif,0.1699965802556821,107,26,74,0.6815286624203821,0.7193641477174355,133,181
Cellpose,Huh7_Phase_A12_1_02d04h00m_3.tif,0.173174020569272,39,10,12,0.78,0.8208521591386942,49,51
Cellpose,BT474_Phase_D3_2_00d16h00m_4.tif,0.1764945076212916,101,18,25,0.8244897959183674,0.7787841045853817,119,126
Cellpose,Huh7_Phase_A12_1_01d16h00m_3.tif,0.1796863701923214,46,5,35,0.696969696969697,0.8245213185545647,51,81
Cellpose,Huh7_Phase_A12_1_02d16h00m_3.tif,0.1824805747377622,36,4,16,0.782608695652174,0.8606805732991578,40,52
Cellpose,SHSY5Y_Phase_A10_2_01d08h00m_4.tif,0.1851556263658183,85,14,70,0.6692913385826772,0.722033917028987,99,155
Cellpose,BV2_Phase_A4_1_01d16h00m_3.tif,0.187492754179413,428,29,22,0.9437706725468578,0.8265926548727308,457,450
Cellpose,MCF7_Phase_H4_1_01d00h00m_2.tif,0.1887665939138965,174,24,37,0.8508557457212714,0.8002650807254896,198,211
Cellpose,SkBr3_Phase_G3_2_00d12h00m_4.tif,0.1910039259178467,207,1,8,0.9787234042553192,0.8815548894122327,208,215
Cellpose,Huh7_Phase_A12_1_00d04h00m_1.tif,0.1929179481260964,67,6,9,0.8993288590604027,0.872489610128693,73,76
Cellpose,SKOV3_Phase_F4_1_00d00h00m_1.tif,0.1950236978256121,60,2,3,0.96,0.8765669294707232,62,63
Cellpose,BT474_Phase_D3_2_01d00h00m_4.tif,0.1967080236560334,113,11,31,0.8432835820895522,0.8025113941482692,124,144
Cellpose,MCF7_Phase_H4_1_00d12h00m_4.tif,0.199142346754818,171,12,39,0.8702290076335878,0.8043480300170863,183,210
Cellpose,SHSY5Y_Phase_A10_2_02d04h00m_4.tif,0.2029514238690923,137,30,62,0.7486338797814208,0.7197792713341608,167,199
Cellpose,A172_Phase_C7_1_00d00h00m_1.tif,0.2058335507266161,66,6,80,0.6055045871559633,0.8803426518143698,72,146
Cellpose,BT474_Phase_D3_2_01d12h00m_3.tif,0.2070248795345295,109,20,39,0.7870036101083032,0.8258538561278874,129,148
Cellpose,Huh7_Phase_A12_1_03d08h00m_3.tif,0.2098361360904707,33,6,25,0.6804123711340206,0.8343861620378588,39,58
Cellpose,BT474_Phase_D3_1_01d12h00m_4.tif,0.2120983371121049,104,31,82,0.6479750778816199,0.7801992860872857,135,186
Cellpose,BV2_Phase_A4_1_01d20h00m_3.tif,0.2154246559495214,479,59,25,0.9193857965451055,0.8193131180549387,538,504
Cellpose,BT474_Phase_D3_2_02d04h00m_4.tif,0.2166001582987392,125,28,30,0.8116883116883117,0.7878658270098331,153,155
Cellpose,BV2_Phase_A4_1_01d20h00m_2.tif,0.2186266480004475,512,38,56,0.9159212880143112,0.8017595834205885,550,568
Cellpose,BV2_Phase_A4_2_01d20h00m_2.tif,0.2205057551628058,441,19,51,0.9264705882352942,0.803184558386235,460,492
Cellpose,Huh7_Phase_A12_1_03d04h00m_2.tif,0.2223006781304651,40,8,16,0.7692307692307693,0.8359362577431357,48,56
Cellpose,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,30,7,5,0.8333333333333334,0.7904743152619366,37,35
Cellpose,Huh7_Phase_A12_1_03d16h00m_3.tif,0.2282039785019647,39,6,10,0.8297872340425532,0.8114676738402398,45,49
Cellpose,Huh7_Phase_A12_2_03d16h00m_2.tif,0.2313321384670037,33,9,11,0.7674418604651163,0.8520004262050781,42,44
Cellpose,BT474_Phase_D3_2_02d16h00m_3.tif,0.2341203089488616,119,48,26,0.7628205128205128,0.7753356674763056,167,145
Cellpose,Huh7_Phase_A12_1_01d00h00m_1.tif,0.2369281155758306,70,7,6,0.915032679738562,0.8330314909349886,77,76
Cellpose,BT474_Phase_D3_2_04d12h00m_2.tif,0.2390348839051585,118,36,31,0.7788778877887789,0.753568042778979,154,149
Cellpose,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,506,23,49,0.933579335793358,0.797968846567405,529,555
Cellpose,MCF7_Phase_H4_2_00d20h00m_2.tif,0.2437779255900471,204,24,28,0.8869565217391304,0.8110216919646288,228,232
Cellpose,MCF7_Phase_H4_1_01d20h00m_1.tif,0.2460750113363429,223,86,31,0.7921847246891652,0.7920541000133094,309,254
Cellpose,SHSY5Y_Phase_A10_2_01d16h00m_1.tif,0.2473626677228901,167,38,81,0.7373068432671082,0.7008888676433757,205,248
Cellpose,Huh7_Phase_A12_1_03d12h00m_2.tif,0.2495064894285503,43,10,12,0.7962962962962963,0.8349773487119164,53,55
Cellpose,Huh7_Phase_A12_1_03d20h00m_3.tif,0.2521237349759651,37,6,5,0.8705882352941177,0.8405128516332037,43,42
Cellpose,MCF7_Phase_H4_1_00d20h00m_4.tif,0.2537020290646659,207,14,18,0.9282511210762332,0.8254832556348404,221,225
Cellpose,SkBr3_Phase_G3_2_01d08h00m_1.tif,0.255853763931378,299,7,7,0.977124183006536,0.8009683927402583,306,306
Cellpose,SkBr3_Phase_G3_2_01d00h00m_1.tif,0.2577601875273078,268,9,12,0.96229802513465,0.8919807864705479,277,280
Cellpose,BT474_Phase_D3_2_04d00h00m_2.tif,0.2600584377731598,109,22,92,0.6566265060240963,0.7902534856953594,131,201
Cellpose,SHSY5Y_Phase_A10_1_01d04h00m_2.tif,0.2631267046820448,146,31,213,0.5447761194029851,0.7178032248027773,177,359
Cellpose,SkBr3_Phase_G3_2_01d12h00m_4.tif,0.2652523145214181,277,10,9,0.9668411867364748,0.7927212052938885,287,286
Cellpose,SkBr3_Phase_G3_1_01d08h00m_4.tif,0.2678101598011316,262,14,12,0.9527272727272728,0.8147335907321958,276,274
Cellpose,SkBr3_Phase_G3_2_01d04h00m_2.tif,0.2698067688756692,251,9,12,0.959847036328872,0.8933198896953479,260,263
Cellpose,Huh7_Phase_A12_1_01d08h00m_1.tif,0.2733935830965909,66,6,46,0.717391304347826,0.7845093467758069,72,112
Cellpose,BT474_Phase_D3_2_01d16h00m_1.tif,0.2760247847465017,129,32,98,0.6649484536082474,0.76927451782232,161,227
Cellpose,SkBr3_Phase_G3_2_01d08h00m_3.tif,0.2781882167832071,317,24,27,0.9255474452554744,0.8075222008403599,341,344
Cellpose,SHSY5Y_Phase_A10_2_01d16h00m_3.tif,0.2794986263931396,143,51,293,0.4539682539682539,0.6942373617921084,194,436
Cellpose,SkBr3_Phase_G3_2_01d04h00m_3.tif,0.2831740664608851,303,17,11,0.9558359621451104,0.8906082303995841,320,314
Cellpose,SKOV3_Phase_F4_1_00d12h00m_4.tif,0.2874831672038954,45,1,5,0.9375,0.8157781429291887,46,50
Cellpose,MCF7_Phase_H4_1_01d20h00m_2.tif,0.2915954931982095,264,87,41,0.8048780487804879,0.7667396414130483,351,305
Cellpose,SKOV3_Phase_E4_1_00d04h00m_3.tif,0.2958078291630249,58,2,1,0.9747899159663864,0.8853681063941254,60,59
Cellpose,Huh7_Phase_A12_1_00d20h00m_3.tif,0.2995207502458502,49,3,58,0.6163522012578616,0.8451008281546346,52,107
Cellpose,SHSY5Y_Phase_A10_1_01d16h00m_3.tif,0.3032984861232484,207,50,218,0.6070381231671554,0.6809316861573093,257,425
Cellpose,SkBr3_Phase_G3_2_01d16h00m_1.tif,0.3060274814248309,341,9,19,0.9605633802816902,0.8026843629534015,350,360
Cellpose,Huh7_Phase_A12_2_04d00h00m_4.tif,0.3089952739838308,44,7,17,0.7857142857142857,0.8169778711551333,51,61
Cellpose,SHSY5Y_Phase_A10_2_01d12h00m_1.tif,0.3114219219842702,144,28,154,0.6127659574468085,0.704416708647877,172,298
Cellpose,SkBr3_Phase_G3_1_01d20h00m_3.tif,0.3141810295563809,248,20,12,0.9393939393939394,0.8911316474917489,268,260
Cellpose,MCF7_Phase_H4_2_02d00h00m_3.tif,0.3154993471372599,287,49,73,0.8247126436781609,0.736743451760467,336,360
Cellpose,SKOV3_Phase_E4_2_00d08h00m_2.tif,0.3190905915373649,68,3,3,0.9577464788732394,0.8585401047535572,71,71
Cellpose,BT474_Phase_D3_1_03d04h00m_4.tif,0.3236079871885817,157,32,72,0.7511961722488039,0.7493036775760314,189,229
Cellpose,SHSY5Y_Phase_A10_2_01d20h00m_3.tif,0.3294207156905809,161,51,131,0.6388888888888888,0.712847651474992,212,292
Cellpose,MCF7_Phase_H4_1_02d00h00m_1.tif,0.3314834697333926,304,25,158,0.7686472819216182,0.7650275712478161,329,462
Cellpose,SkBr3_Phase_G3_1_02d00h00m_3.tif,0.3352176300262214,267,3,17,0.9638989169675092,0.8729875020049667,270,284
Cellpose,SKOV3_Phase_F4_1_00d08h00m_3.tif,0.3387570954436227,56,2,6,0.9333333333333332,0.8534079833777486,58,62
Cellpose,MCF7_Phase_H4_1_01d12h00m_4.tif,0.3423966313374308,309,34,88,0.8351351351351352,0.7781566166012424,343,397
Cellpose,SKOV3_Phase_F4_2_00d16h00m_4.tif,0.3453774674934339,60,2,11,0.9022556390977444,0.8777384180093732,62,71
Cellpose,MCF7_Phase_H4_2_02d00h00m_1.tif,0.3539260380244945,353,51,78,0.8455089820359282,0.7832893600378266,404,431
Cellpose,SHSY5Y_Phase_A10_1_01d08h00m_2.tif,0.3570909380463368,169,31,188,0.6068222621184919,0.6973501194244321,200,357
Cellpose,BV2_Phase_A4_2_02d12h00m_4.tif,0.362422195012014,761,26,362,0.7968586387434555,0.7891779185992625,787,1123
Cellpose,SKOV3_Phase_E4_1_00d04h00m_1.tif,0.3641226873907286,72,6,7,0.9171974522292994,0.8608568930124095,78,79
Cellpose,A172_Phase_C7_2_00d16h00m_1.tif,0.3682667789827302,88,6,11,0.911917098445596,0.8188267351362906,94,99
Cellpose,BT474_Phase_D3_1_03d04h00m_2.tif,0.3745985835063418,213,25,90,0.7874306839186691,0.7678198682777642,238,303
Cellpose,SkBr3_Phase_G3_2_02d04h00m_3.tif,0.3784471567690063,407,17,17,0.9599056603773584,0.8415929599190253,424,424
Cellpose,MCF7_Phase_H4_1_02d08h00m_1.tif,0.384207790373675,325,101,86,0.7765830346475507,0.7209935451323048,426,411
Cellpose,SHSY5Y_Phase_A10_2_01d16h00m_2.tif,0.3876556777207178,202,29,116,0.7358834244080146,0.726096564200756,231,318
Cellpose,SkBr3_Phase_G3_2_01d20h00m_1.tif,0.3933343598393845,355,15,28,0.9428950863213812,0.8555705145410345,370,383
Cellpose,BT474_Phase_D3_1_05d00h00m_4.tif,0.3972270088505216,256,41,153,0.7252124645892352,0.7179812484220172,297,409
Cellpose,SKOV3_Phase_E4_1_00d04h00m_2.tif,0.400645403327151,75,9,5,0.9146341463414634,0.8404777049983808,84,80
Cellpose,Huh7_Phase_A12_1_03d16h00m_1.tif,0.4044489066597377,76,8,35,0.7794871794871795,0.7963302370527207,84,111
Cellpose,SkBr3_Phase_G3_2_02d08h00m_1.tif,0.4126753135926555,403,26,25,0.94049008168028,0.852522055258136,429,428
Cellpose,BV2_Phase_A4_1_02d12h00m_3.tif,0.4156009574409895,922,65,130,0.9043648847474252,0.7845092760080097,987,1052
Cellpose,SKOV3_Phase_E4_2_01d08h00m_3.tif,0.4197373761199701,82,10,12,0.8817204301075269,0.8106476554961539,92,94
Cellpose,A172_Phase_C7_1_01d00h00m_3.tif,0.4295939887456251,89,10,38,0.7876106194690266,0.7819375616938639,99,127
Cellpose,BV2_Phase_A4_1_03d00h00m_3.tif,0.4342386035839234,1107,391,136,0.8077344035023714,0.7778375556158598,1498,1243
Cellpose,A172_Phase_C7_1_01d08h00m_4.tif,0.4375402089707154,127,17,21,0.8698630136986302,0.8078346726807907,144,148
Cellpose,A172_Phase_C7_2_00d16h00m_2.tif,0.443464680261144,99,5,11,0.9252336448598132,0.8326651324117713,104,110
Cellpose,Huh7_Phase_A12_1_03d20h00m_1.tif,0.4473774491914329,66,14,51,0.6700507614213198,0.7864421647807162,80,117
Cellpose,SkBr3_Phase_G3_1_02d08h00m_4.tif,0.4542254804960597,388,2,12,0.9822784810126582,0.8959077096497844,390,400
Cellpose,Huh7_Phase_A12_2_03d04h00m_1.tif,0.4594225633741279,36,9,71,0.4736842105263157,0.8039914029398891,45,107
Cellpose,SKOV3_Phase_E4_2_00d16h00m_1.tif,0.4668090302666158,76,8,3,0.9325153374233128,0.8479547854308942,84,79
Cellpose,MCF7_Phase_H4_1_02d04h00m_4.tif,0.4727780068564118,427,116,118,0.7849264705882353,0.7117114439825097,543,545
Cellpose,MCF7_Phase_H4_2_02d00h00m_4.tif,0.4762265596317781,496,36,202,0.8065040650406504,0.7854937757453451,532,698
Cellpose,SkBr3_Phase_G3_1_02d08h00m_2.tif,0.4783392948262718,384,14,22,0.9552238805970148,0.8402859609388195,398,406
Cellpose,BV2_Phase_A4_1_02d16h00m_4.tif,0.4813652485795532,1201,197,185,0.8627873563218391,0.8056340148023815,1398,1386
Cellpose,SKOV3_Phase_E4_1_01d04h00m_4.tif,0.4844538950502637,88,8,11,0.9025641025641026,0.8477205911771022,96,99
Cellpose,SHSY5Y_Phase_A10_1_01d20h00m_4.tif,0.4897425954709503,250,46,266,0.6157635467980296,0.7046552670500481,296,516
Cellpose,SkBr3_Phase_G3_1_03d00h00m_3.tif,0.4960537390734145,366,3,40,0.944516129032258,0.8710598315482307,369,406
Cellpose,SKOV3_Phase_E4_1_00d20h00m_4.tif,0.4985569782561186,72,2,9,0.9290322580645162,0.8536069833877067,74,81
Cellpose,A172_Phase_C7_1_01d08h00m_3.tif,0.5027165947334037,131,9,35,0.8562091503267973,0.793632005826704,140,166
Cellpose,A172_Phase_C7_2_01d00h00m_3.tif,0.5090381120246996,102,4,19,0.8986784140969163,0.8061762739109619,106,121
Cellpose,SHSY5Y_Phase_A10_2_02d16h00m_3.tif,0.5162545786440113,325,56,244,0.6842105263157895,0.7161011533626206,381,569
Cellpose,SKOV3_Phase_F4_1_01d00h00m_2.tif,0.5206657349486425,93,8,14,0.8942307692307693,0.8235919539195314,101,107
Cellpose,SHSY5Y_Phase_A10_1_02d12h00m_2.tif,0.5254306994372903,430,51,287,0.7178631051752922,0.7231532140020389,481,717
Cellpose,SKOV3_Phase_E4_2_01d04h00m_2.tif,0.5345277313701963,113,9,20,0.8862745098039215,0.8360259626593423,122,133
Cellpose,SkBr3_Phase_G3_2_02d20h00m_1.tif,0.5431049725469721,489,26,37,0.9394812680115274,0.8500432417761074,515,526
Cellpose,SkBr3_Phase_G3_1_02d20h00m_2.tif,0.5477818668050606,466,10,57,0.9329329329329328,0.8470091575050228,476,523
Cellpose,SHSY5Y_Phase_A10_1_02d08h00m_1.tif,0.55562100415207,384,63,210,0.7377521613832853,0.7496988613776866,447,594
Cellpose,SKOV3_Phase_F4_1_01d16h00m_4.tif,0.5617371707003943,86,3,1,0.9772727272727272,0.8487190087520272,89,87
Cellpose,SkBr3_Phase_G3_2_03d08h00m_2.tif,0.5677904742132884,510,11,41,0.9514925373134328,0.8375800200618359,521,551
Cellpose,SHSY5Y_Phase_A10_1_02d04h00m_1.tif,0.5744628777862822,352,69,226,0.7047047047047047,0.7148411083252395,421,578
Cellpose,MCF7_Phase_H4_1_02d12h00m_4.tif,0.5853660441706763,589,62,184,0.827247191011236,0.7667629626678809,651,773
Cellpose,SkBr3_Phase_G3_2_03d08h00m_4.tif,0.5923533996667588,463,19,43,0.937246963562753,0.8505771820011109,482,506
Cellpose,SkBr3_Phase_G3_2_03d12h00m_4.tif,0.6037668222792922,481,17,58,0.927675988428158,0.8465661113062309,498,539
Cellpose,SKOV3_Phase_E4_1_00d20h00m_1.tif,0.6111803534746518,105,10,14,0.8974358974358975,0.8073184228880982,115,119
Cellpose,MCF7_Phase_H4_2_03d16h00m_1.tif,0.6209018373033282,748,157,316,0.7597765363128491,0.7540867016498338,905,1064
Cellpose,SKOV3_Phase_E4_1_01d00h00m_1.tif,0.6279902730277525,116,8,30,0.8592592592592593,0.8074832241568364,124,146
Cellpose,SkBr3_Phase_G3_2_03d08h00m_1.tif,0.6328579001857547,592,16,31,0.9618196588139724,0.8477098615937798,608,623
Cellpose,MCF7_Phase_H4_2_02d12h00m_2.tif,0.6489565538953214,609,25,420,0.7324113048707156,0.7715037321403616,634,1029
Cellpose,MCF7_Phase_H4_1_03d08h00m_3.tif,0.6530734780648965,612,89,251,0.782608695652174,0.7548814500977343,701,863
Cellpose,SKOV3_Phase_F4_2_01d08h00m_2.tif,0.6631317093258323,101,9,16,0.8898678414096917,0.8528937080708521,110,117
Cellpose,MCF7_Phase_H4_2_03d08h00m_2.tif,0.6736426949027488,706,130,560,0.6717411988582302,0.7251519899851607,836,1266
Cellpose,SKOV3_Phase_E4_2_01d16h00m_4.tif,0.6815534055397634,118,9,4,0.9477911646586346,0.8220981573722457,127,122
Cellpose,SkBr3_Phase_G3_2_03d12h00m_3.tif,0.6886190432419088,626,19,65,0.937125748502994,0.834517030671587,645,691
Cellpose,SHSY5Y_Phase_A10_1_03d00h00m_3.tif,0.6974546216674177,498,63,488,0.6438267614738203,0.7387519119664893,561,986
Cellpose,SKOV3_Phase_F4_2_01d12h00m_1.tif,0.7039361254370582,126,4,12,0.9402985074626866,0.8431118402741757,130,138
Cellpose,SKOV3_Phase_E4_1_01d16h00m_3.tif,0.7178174923513944,127,1,8,0.9657794676806084,0.84096020951571,128,135
Cellpose,SKOV3_Phase_E4_2_01d16h00m_2.tif,0.728647390461094,132,14,3,0.9395017793594306,0.8349116798789556,146,135
Cellpose,BV2_Phase_A4_1_02d04h00m_2.tif,0.7376357161003044,844,43,914,0.6381852551984877,0.8413453659148621,887,1758
Cellpose,A172_Phase_C7_1_02d00h00m_2.tif,0.750573590881781,215,34,176,0.671875,0.7555816666982262,249,391
Cellpose,SKOV3_Phase_E4_2_02d04h00m_3.tif,0.7612629919689756,146,9,25,0.8957055214723927,0.8248793612743249,155,171
Cellpose,SHSY5Y_Phase_A10_1_03d00h00m_1.tif,0.7732970663516148,497,112,425,0.6492488569562378,0.7198470944206794,609,922
Cellpose,SHSY5Y_Phase_A10_1_03d08h00m_2.tif,0.7991580852545952,447,133,814,0.485605649103748,0.7012368026651477,580,1261
Cellpose,SKOV3_Phase_E4_2_02d08h00m_3.tif,0.8169037991695806,165,7,21,0.9217877094972068,0.7983613070121949,172,186
Cellpose,SKOV3_Phase_E4_2_02d04h00m_4.tif,0.8348433190832483,158,19,27,0.8729281767955801,0.7981342425911597,177,185
Cellpose,A172_Phase_C7_2_02d16h00m_4.tif,0.8449416152207169,191,45,134,0.6809269162210339,0.71914832941567,236,325
Cellpose,SKOV3_Phase_F4_2_02d00h00m_1.tif,0.8595048470279786,152,13,14,0.918429003021148,0.8268253877171304,165,166
Cellpose,SKOV3_Phase_F4_2_02d08h00m_3.tif,0.8677490965089631,178,12,25,0.905852417302799,0.8324858962696764,190,203
Cellpose,SKOV3_Phase_E4_1_02d20h00m_2.tif,0.878217421874996,239,42,96,0.775974025974026,0.755668289227394,281,335
Cellpose,SKOV3_Phase_E4_2_02d12h00m_3.tif,0.8898521802611433,169,12,21,0.9110512129380054,0.8047849030173587,181,190
Cellpose,SKOV3_Phase_E4_1_02d16h00m_2.tif,0.8982656349705043,234,24,69,0.8342245989304813,0.7673984636315139,258,303
Cellpose,SKOV3_Phase_E4_1_02d00h00m_1.tif,0.9090176134997876,209,7,56,0.8690228690228691,0.8274879095552641,216,265
StarDist,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544453,0,1,2,0.0,,1,2
StarDist,BV2_Phase_A4_1_00d00h00m_1.tif,0.029401970334353926,0,0,80,0.0,,0,80
StarDist,BV2_Phase_A4_2_00d12h00m_2.tif,0.036811243170888616,0,0,106,0.0,,0,106
StarDist,BV2_Phase_A4_2_00d12h00m_3.tif,0.042257250874120474,0,1,117,0.0,,1,117
StarDist,BV2_Phase_A4_1_00d08h00m_4.tif,0.04744883317854499,0,0,130,0.0,,0,130
StarDist,BV2_Phase_A4_1_00d12h00m_4.tif,0.05852180985029693,0,0,153,0.0,,0,153
StarDist,BV2_Phase_A4_1_00d16h00m_4.tif,0.06670611464706629,0,0,173,0.0,,0,173
StarDist,SHSY5Y_Phase_A10_1_00d00h00m_1.tif,0.07168877444820317,0,2,170,0.0,,2,170
StarDist,MCF7_Phase_H4_1_00d04h00m_1.tif,0.0813146346427115,0,3,84,0.0,,3,84
StarDist,Huh7_Phase_A12_1_00d04h00m_4.tif,0.08883767728365576,0,1,35,0.0,,1,35
StarDist,SHSY5Y_Phase_A10_2_00d04h00m_1.tif,0.09268296383305052,0,1,132,0.0,,1,132
StarDist,A172_Phase_C7_2_00d00h00m_4.tif,0.09813621039117075,1,1,60,0.031746031746031744,0.7771686552724928,2,61
StarDist,BT474_Phase_D3_2_00d00h00m_4.tif,0.10278998975634279,0,0,120,0.0,,0,120
StarDist,BT474_Phase_D3_1_00d00h00m_4.tif,0.10599383768575188,0,1,128,0.0,,1,128
StarDist,MCF7_Phase_H4_1_00d08h00m_3.tif,0.1102085003278018,0,5,93,0.0,,5,93
StarDist,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,0,2,106,0.0,,2,106
StarDist,Huh7_Phase_A12_2_00d16h00m_2.tif,0.11680206484920644,0,0,42,0.0,,0,42
StarDist,Huh7_Phase_A12_2_00d08h00m_1.tif,0.12069251761910002,0,1,51,0.0,,1,51
StarDist,Huh7_Phase_A12_2_00d20h00m_2.tif,0.12427154829545645,0,0,44,0.0,,0,44
StarDist,BV2_Phase_A4_2_01d08h00m_3.tif,0.12626194465689972,0,0,270,0.0,,0,270
StarDist,A172_Phase_C7_2_00d00h00m_2.tif,0.12952271784855046,0,0,104,0.0,,0,104
StarDist,SkBr3_Phase_G3_1_00d00h00m_3.tif,0.1333436557582902,0,1,171,0.0,,1,171
StarDist,MCF7_Phase_H4_2_00d04h00m_4.tif,0.13615481834571755,0,4,138,0.0,,4,138
StarDist,SHSY5Y_Phase_A10_2_00d12h00m_3.tif,0.1380454535893816,0,11,145,0.0,,11,145
StarDist,SkBr3_Phase_G3_1_00d04h00m_3.tif,0.13989052529502205,0,5,167,0.0,,5,167
StarDist,SKOV3_Phase_E4_2_00d00h00m_4.tif,0.1426584577141608,0,1,46,0.0,,1,46
StarDist,BV2_Phase_A4_1_01d04h00m_4.tif,0.14483813797531167,0,0,306,0.0,,0,306
StarDist,Huh7_Phase_A12_2_03d20h00m_3.tif,0.1468831187172204,0,0,34,0.0,,0,34
StarDist,SKOV3_Phase_F4_2_00d00h00m_4.tif,0.14812364838287068,0,2,51,0.0,,2,51
StarDist,SkBr3_Phase_G3_1_00d00h00m_2.tif,0.1504229474431802,0,1,207,0.0,,1,207
StarDist,Huh7_Phase_A12_2_01d16h00m_2.tif,0.15225915496613024,0,1,55,0.0,,1,55
StarDist,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,0,0,51,0.0,,0,51
StarDist,SkBr3_Phase_G3_1_00d04h00m_4.tif,0.1562341936188849,0,1,201,0.0,,1,201
StarDist,Huh7_Phase_A12_2_00d20h00m_3.tif,0.15778175180287926,0,0,56,0.0,,0,56
StarDist,Huh7_Phase_A12_1_01d16h00m_2.tif,0.15847134779283023,0,0,70,0.0,,0,70
StarDist,Huh7_Phase_A12_2_01d16h00m_3.tif,0.16111376502403332,0,0,53,0.0,,0,53
StarDist,MCF7_Phase_H4_1_00d12h00m_2.tif,0.16380822702687822,0,3,154,0.0,,3,154
StarDist,Huh7_Phase_A12_1_01d20h00m_2.tif,0.16627861451049014,0,1,61,0.0,,1,61
StarDist,MCF7_Phase_H4_1_00d16h00m_2.tif,0.16819995069383273,0,1,141,0.0,,1,141
StarDist,SHSY5Y_Phase_A10_2_01d00h00m_3.tif,0.1699965802556821,0,9,181,0.0,,9,181
StarDist,Huh7_Phase_A12_1_02d04h00m_3.tif,0.17317402056927206,0,1,51,0.0,,1,51
StarDist,BT474_Phase_D3_2_00d16h00m_4.tif,0.1764945076212916,0,1,126,0.0,,1,126
StarDist,Huh7_Phase_A12_1_01d16h00m_3.tif,0.1796863701923214,0,0,81,0.0,,0,81
StarDist,Huh7_Phase_A12_1_02d16h00m_3.tif,0.18248057473776222,0,1,52,0.0,,1,52
StarDist,SHSY5Y_Phase_A10_2_01d08h00m_4.tif,0.18515562636581834,0,5,155,0.0,,5,155
StarDist,BV2_Phase_A4_1_01d16h00m_3.tif,0.18749275417941302,0,0,450,0.0,,0,450
StarDist,MCF7_Phase_H4_1_01d00h00m_2.tif,0.18876659391389655,0,0,211,0.0,,0,211
StarDist,SkBr3_Phase_G3_2_00d12h00m_4.tif,0.1910039259178467,0,1,215,0.0,,1,215
StarDist,Huh7_Phase_A12_1_00d04h00m_1.tif,0.19291794812609642,0,0,76,0.0,,0,76
StarDist,SKOV3_Phase_F4_1_00d00h00m_1.tif,0.19502369782561216,0,1,63,0.0,,1,63
StarDist,BT474_Phase_D3_2_01d00h00m_4.tif,0.1967080236560334,0,1,144,0.0,,1,144
StarDist,MCF7_Phase_H4_1_00d12h00m_4.tif,0.199142346754818,0,8,210,0.0,,8,210
StarDist,SHSY5Y_Phase_A10_2_02d04h00m_4.tif,0.20295142386909235,0,15,199,0.0,,15,199
StarDist,A172_Phase_C7_1_00d00h00m_1.tif,0.20583355072661613,0,0,146,0.0,,0,146
StarDist,BT474_Phase_D3_2_01d12h00m_3.tif,0.20702487953452953,0,1,148,0.0,,1,148
StarDist,Huh7_Phase_A12_1_03d08h00m_3.tif,0.20983613609047078,0,0,58,0.0,,0,58
StarDist,BT474_Phase_D3_1_01d12h00m_4.tif,0.21209833711210496,0,0,186,0.0,,0,186
StarDist,BV2_Phase_A4_1_01d20h00m_3.tif,0.21542465594952145,0,1,504,0.0,,1,504
StarDist,BT474_Phase_D3_2_02d04h00m_4.tif,0.21660015829873921,0,0,155,0.0,,0,155
StarDist,BV2_Phase_A4_1_01d20h00m_2.tif,0.21862664800044757,0,1,568,0.0,,1,568
StarDist,BV2_Phase_A4_2_01d20h00m_2.tif,0.22050575516280582,0,2,492,0.0,,2,492
StarDist,Huh7_Phase_A12_1_03d04h00m_2.tif,0.22230067813046514,0,0,56,0.0,,0,56
StarDist,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,0,0,35,0.0,,0,35
StarDist,Huh7_Phase_A12_1_03d16h00m_3.tif,0.22820397850196478,0,1,49,0.0,,1,49
StarDist,Huh7_Phase_A12_2_03d16h00m_2.tif,0.2313321384670037,0,0,44,0.0,,0,44
StarDist,BT474_Phase_D3_2_02d16h00m_3.tif,0.23412030894886163,0,0,145,0.0,,0,145
StarDist,Huh7_Phase_A12_1_01d00h00m_1.tif,0.23692811557583066,0,0,76,0.0,,0,76
StarDist,BT474_Phase_D3_2_04d12h00m_2.tif,0.23903488390515856,0,0,149,0.0,,0,149
StarDist,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,0,1,555,0.0,,1,555
StarDist,MCF7_Phase_H4_2_00d20h00m_2.tif,0.24377792559004716,0,0,232,0.0,,0,232
StarDist,MCF7_Phase_H4_1_01d20h00m_1.tif,0.24607501133634296,0,3,254,0.0,,3,254
StarDist,SHSY5Y_Phase_A10_2_01d16h00m_1.tif,0.2473626677228901,0,11,248,0.0,,11,248
StarDist,Huh7_Phase_A12_1_03d12h00m_2.tif,0.24950648942855033,0,0,55,0.0,,0,55
StarDist,Huh7_Phase_A12_1_03d20h00m_3.tif,0.25212373497596513,0,0,42,0.0,,0,42
StarDist,MCF7_Phase_H4_1_00d20h00m_4.tif,0.25370202906466593,0,5,225,0.0,,5,225
