file,cell_type,phi,hours,n_expert,meanq_expert,meanarea_expert,n_ours,meanq_ours,meanarea_ours,n_conncomp,meanq_conncomp,meanarea_conncomp,n_oursalt,meanq_oursalt,meanarea_oursalt,n_cellpose,meanq_cellpose,meanarea_cellpose
BT474_Phase_D3_1_04d04h00m_1.tif,BT474,0.31429552365603314,100.0,149,4.268968168316866,619.5302013422819,207,4.230790153386706,528.5265700483092,16,4.936530946754381,4474.1875,82,4.536224764755797,1174.060975609756,155,4.125173512318339,550.3225806451613
BT474_Phase_D3_2_01d16h00m_1.tif,BT474,0.2760247847465017,40.0,182,4.368441813868179,498.52197802197804,162,4.222327682604712,559.2222222222222,31,4.562962166945734,2265.032258064516,98,4.277549083413808,858.295918367347,144,4.178193560858036,566.5069444444445
BT474_Phase_D3_2_02d00h00m_3.tif,BT474,0.23888054441651768,48.0,148,4.3211739985700275,499.89864864864865,170,4.106746420294029,439.9117647058824,24,4.344371898870741,2195.1666666666665,88,4.2146240913403865,755.4318181818181,131,4.106821154203555,505.53435114503816
BT474_Phase_D3_1_04d16h00m_1.tif,BT474,0.3466238760653429,112.0,168,4.171910994063386,603.7142857142857,230,4.231560768568879,519.7695652173913,13,4.925564630965051,3872.5384615384614,97,4.465814155452682,990.5670103092783,181,4.116388122338183,551.3370165745856
BT474_Phase_D3_1_01d00h00m_2.tif,BT474,0.2156675400185718,24.0,158,4.241817932248491,427.50632911392404,146,4.117415500138666,472.36301369863014,44,4.2968334740718594,1362.6818181818182,89,4.1441408692007675,710.6741573033707,119,4.099475488596088,494.84033613445376
BT474_Phase_D3_1_02d00h00m_2.tif,BT474,0.32600105059003437,48.0,170,4.463165953836295,612.6235294117647,208,4.153613635365015,466.7980769230769,29,4.477786094541427,2590.5172413793102,104,4.259201238862638,834.5192307692307,157,4.168512073566862,536.8980891719746
BT474_Phase_D3_1_00d16h00m_2.tif,BT474,0.16363332126857172,16.0,130,4.257855135746031,404.26153846153846,122,4.098029241358975,457.4344262295082,45,4.26198121912625,1115.0444444444445,84,4.0842476131848615,635.452380952381,110,4.094088883182796,461.72727272727275
BT474_Phase_D3_2_01d16h00m_4.tif,BT474,0.24451717179304336,40.0,147,4.291572511693721,514.7823129251701,147,4.155756298846945,481.0748299319728,25,4.2746671870631525,2303.72,92,4.219756209351386,694.2934782608696,120,4.15657447366122,549.0
BT474_Phase_D3_1_02d04h00m_1.tif,BT474,0.2309991201376701,52.0,138,4.373182143343735,514.231884057971,161,4.199079887536967,487.54037267080747,24,4.280905353321528,2135.2083333333335,63,4.2602982183324,931.0952380952381,121,4.200519385081078,552.595041322314
BT474_Phase_D3_2_02d12h00m_4.tif,BT474,0.2565721388767562,60.0,148,4.328434419871548,532.6824324324324,179,4.1710293705013095,507.70949720670393,25,4.450942179759802,2628.56,104,4.296051728092751,796.6538461538462,134,4.147092471785698,593.9850746268656
BT474_Phase_D3_2_03d04h00m_4.tif,BT474,0.2675810895159557,76.0,152,4.247171832295489,551.921052631579,185,4.217086460164158,510.4864864864865,24,4.923019558980023,2845.7083333333335,90,4.463913068569005,982.2222222222222,130,4.110314799606513,608.723076923077
BT474_Phase_D3_2_00d12h00m_2.tif,BT474,0.12337337631118939,12.0,73,4.1111734919133385,563.8356164383562,87,4.018895869574656,505.1264367816092,44,4.1828995791254036,985.1136363636364,74,4.007900475902838,543.2702702702703,86,4.006040037923512,479.4651162790698
BT474_Phase_D3_1_01d04h00m_4.tif,BT474,0.19028002117024137,28.0,116,4.1964561754686605,536.0,125,4.1716137415183585,530.528,43,4.352497996587321,1316.6046511627908,80,4.225636346565672,757.3,105,4.121867782617394,562.7523809523809
BT474_Phase_D3_1_03d16h00m_1.tif,BT474,0.34618983405266135,88.0,163,4.380564196223096,617.4969325153374,188,4.23963750411565,540.6010638297872,17,4.597092350014999,3125.0,76,4.377764948422856,1029.8552631578948,134,4.155031396686349,608.9179104477612
BT474_Phase_D3_1_03d00h00m_1.tif,BT474,0.2763771961046688,72.0,203,4.188832171439451,432.8226600985222,175,4.225105164791411,549.4685714285714,22,4.518118351520839,3034.4545454545455,85,4.3247680902872165,957.3529411764706,130,4.129047176183186,630.0846153846154
BT474_Phase_D3_2_02d00h00m_1.tif,BT474,0.2533549841564697,48.0,160,4.322364038330937,507.80625,182,4.1922505652471465,505.4120879120879,29,4.585790057382327,2462.4137931034484,91,4.3084836297299525,909.065934065934,135,4.188711869448843,537.2740740740741
BT474_Phase_D3_2_04d04h00m_1.tif,BT474,0.3452912509560758,100.0,240,4.232790021882911,468.4625,237,4.2988732455415715,496.0632911392405,10,5.112890834660604,4048.2,102,4.525136885915693,1027.862745098039,196,4.148313419674599,514.0051020408164
BT474_Phase_D3_1_01d04h00m_3.tif,BT474,0.19637172038897363,28.0,131,4.187025272113527,441.8396946564886,147,4.120189157542515,419.38775510204084,29,4.296208223262692,1473.8620689655172,86,4.178301684864076,672.6162790697674,112,4.103150882042954,486.2142857142857
BT474_Phase_D3_2_03d12h00m_1.tif,BT474,0.3145911541193231,84.0,184,4.302367215759404,572.2934782608696,224,4.2076066689567515,511.5669642857143,16,5.384602179414205,4979.0,108,4.415964300277089,975.7592592592592,171,4.159988246697202,544.3099415204679
BT474_Phase_D3_1_02d04h00m_3.tif,BT474,0.24030519831730948,52.0,174,4.25649353903506,409.7068965517241,174,4.216275029539288,462.48850574712645,23,4.698327455300324,2015.4347826086957,77,4.415257997305978,875.0,131,4.124976833104787,511.7709923664122
BT474_Phase_D3_1_00d16h00m_3.tif,BT474,0.16008786918159063,16.0,123,4.19228560060317,400.0569105691057,128,4.018934089485281,424.78125,40,4.26366762875642,1162.05,98,4.043348434444009,522.4489795918367,112,4.031149027329727,427.74107142857144
BT474_Phase_D3_1_03d00h00m_2.tif,BT474,0.3425062427611221,72.0,233,4.2467523654651895,479.0429184549356,245,4.1980713711073765,471.68163265306123,21,4.994038286040736,3909.5238095238096,115,4.394267132802336,920.6173913043478,207,4.143799632182301,508.82125603864733
BT474_Phase_D3_1_04d16h00m_2.tif,BT474,0.3425562411221478,112.0,210,4.148837470858188,518.7333333333333,286,4.249788026122351,473.33216783216784,11,5.296797494410033,3466.181818181818,126,4.471800787397417,942.047619047619,237,4.081038052760037,477.24050632911394
BT474_Phase_D3_1_05d00h00m_3.tif,BT474,0.43743962972573786,120.0,314,4.176248927104151,417.21019108280257,260,4.297315533594995,478.71923076923076,8,5.602564060399867,4362.125,109,4.498564825406319,872.3119266055046,206,4.108218178709306,512.9320388349514
BT474_Phase_D3_2_01d12h00m_2.tif,BT474,0.18412510298296045,36.0,107,4.288276872570752,559.803738317757,135,4.208783578720705,508.9555555555556,31,4.187415166414548,1656.9354838709678,75,4.277131926117168,801.5066666666667,94,4.179524260502387,609.436170212766
BT474_Phase_D3_1_02d00h00m_3.tif,BT474,0.23537117720170503,48.0,156,4.353775433818185,429.5769230769231,165,4.219418585897697,451.07878787878786,21,4.6339110830390755,1837.4761904761904,74,4.427811944773344,788.9054054054054,129,4.145463292684258,479.25581395348837
BT474_Phase_D3_2_00d16h00m_3.tif,BT474,0.16546101316651612,16.0,92,4.208675590361303,537.7934782608696,111,4.165364985660082,459.7837837837838,48,4.323992213955671,982.0625,77,4.122779782715729,602.8051948051948,98,4.186425460340327,484.4591836734694
BT474_Phase_D3_2_05d00h00m_2.tif,BT474,0.2373314670290622,120.0,151,4.365025044439669,516.384105960265,221,4.216414705425559,454.5972850678733,17,4.444273526501995,2573.823529411765,93,4.394240638670918,961.4408602150538,139,4.16517467975067,526.1726618705036
BT474_Phase_D3_2_04d16h00m_2.tif,BT474,0.19244544034091335,112.0,115,4.178581005207834,534.7565217391304,185,4.271992139313984,501.68108108108106,18,4.775820941125574,2467.3888888888887,77,4.52547542430724,1094.025974025974,124,4.1566858556177895,499.69354838709677
BT474_Phase_D3_2_01d04h00m_3.tif,BT474,0.1678306392045415,28.0,121,4.20888019373262,437.297520661157,124,4.170302218524907,492.1532258064516,40,4.396386409617366,1338.525,85,4.188223730170155,699.5294117647059,106,4.188030843670774,525.8962264150944
BT474_Phase_D3_2_01d12h00m_1.tif,BT474,0.24614728460992308,36.0,144,4.396818238043603,568.8055555555555,169,4.177754179976619,510.905325443787,32,4.355916800590135,2094.65625,91,4.240638399454786,846.3296703296703,124,4.186664696632323,598.0483870967741
BT474_Phase_D3_2_01d00h00m_4.tif,BT474,0.1967080236560334,24.0,124,4.255481295715445,510.758064516129,150,4.150574418558953,445.55333333333334,38,4.279210166158174,1440.3157894736842,84,4.193994210363106,714.6785714285714,108,4.147792109867783,501.2037037037037
BT474_Phase_D3_2_04d12h00m_3.tif,BT474,0.3141055244755243,108.0,215,4.233250364381593,448.4372093023256,253,4.166746755380482,460.7312252964427,14,4.3521654830687195,2112.0714285714284,130,4.335867311614333,794.5076923076923,194,4.035112164090796,508.0979381443299
BT474_Phase_D3_2_05d00h00m_4.tif,BT474,0.2233800073754415,120.0,153,4.165092006764156,476.7712418300654,232,4.247460327819552,457.5431034482759,14,5.612543117237676,3913.3571428571427,105,4.487465206903204,861.2285714285714,193,4.125936197274001,461.44559585492226
BT474_Phase_D3_1_04d12h00m_4.tif,BT474,0.36399094200720383,108.0,312,4.298724539810581,355.42628205128204,257,4.214199381880448,431.92996108949416,12,4.932175306815508,3209.1666666666665,111,4.479043936067057,874.3063063063063,214,4.097060516721362,427.99532710280374
BT474_Phase_D3_1_02d16h00m_1.tif,BT474,0.2783382252513104,64.0,145,4.256556806850892,583.0896551724138,175,4.205023406455131,500.62857142857143,21,4.469304927061178,2663.1428571428573,80,4.260151287637326,827.6375,131,4.170284662552481,570.4961832061068
BT474_Phase_D3_1_01d16h00m_4.tif,BT474,0.24193526824737688,40.0,114,4.31329730240018,666.8421052631579,141,4.205845342100352,507.9503546099291,36,4.530157904959704,1646.3333333333333,82,4.210299077028781,779.1463414634146,121,4.093744441864979,510.4793388429752
BT474_Phase_D3_2_01d00h00m_1.tif,BT474,0.2022122019777134,24.0,130,4.255307882183769,519.8461538461538,152,4.1821328801396795,468.19736842105266,38,4.523208358480055,1501.657894736842,85,4.3103884604499925,774.0470588235294,117,4.207939828099912,541.2649572649573
BT474_Phase_D3_2_02d12h00m_2.tif,BT474,0.2049508933839557,60.0,105,4.237421124197403,650.1428571428571,151,4.192396010849281,516.2582781456954,23,4.264705787045258,2677.6521739130435,75,4.290137482988418,960.0666666666667,120,4.152320319978389,613.4166666666666
BT474_Phase_D3_1_02d12h00m_1.tif,BT474,0.27553560027864643,60.0,142,4.326375168420468,576.443661971831,175,4.1944243494990925,501.7657142857143,22,4.274094688453311,2572.7272727272725,71,4.267659473098268,958.6478873239437,122,4.197289251813526,595.672131147541
BT474_Phase_D3_2_04d16h00m_3.tif,BT474,0.26230038611778655,112.0,161,4.163155581027686,520.2857142857143,213,4.313464463364739,478.8732394366197,17,5.041800336522469,1476.3529411764705,103,4.565384789408335,898.8446601941747,163,4.071129565862555,509.3312883435583
BT474_Phase_D3_1_02d04h00m_4.tif,BT474,0.23680847765514546,52.0,157,4.430856971779049,465.3949044585987,183,4.183265118640674,477.6338797814208,28,4.666410275849435,2089.3928571428573,89,4.247859223972524,776.1573033707865,142,4.1832239345660325,519.6619718309859
