setting,file,phi,tp,fp,fn,f1,matched_iou
balanced,SHSY5Y_Phase_A10_2_00d20h00m_2.tif,0.18492138385051235,112,52,51,0.6850152905198776,0.7449198317644133
measurement-optimal,SHSY5Y_Phase_A10_2_00d20h00m_2.tif,0.18492138385051235,83,34,80,0.5928571428571429,0.746730191118994
connected components,SHSY5Y_Phase_A10_2_00d20h00m_2.tif,0.18492138385051235,10,46,153,0.091324200913242,0.8045016973358516
detection-optimal,BV2_Phase_A4_2_01d12h00m_1.tif,0.18768122773710816,445,34,21,0.9417989417989417,0.7938357471212772
balanced,BV2_Phase_A4_2_01d12h00m_1.tif,0.18768122773710816,437,34,29,0.9327641408751334,0.7950223692109443
measurement-optimal,BV2_Phase_A4_2_01d12h00m_1.tif,0.18768122773710816,355,52,111,0.8132875143184422,0.8067365283395184
connected components,BV2_Phase_A4_2_01d12h00m_1.tif,0.18768122773710816,28,31,438,0.10666666666666667,0.834226114354842
detection-optimal,Huh7_Phase_A12_1_00d12h00m_1.tif,0.19013072456839397,62,23,13,0.775,0.7480118668488411
balanced,Huh7_Phase_A12_1_00d12h00m_1.tif,0.19013072456839397,61,15,14,0.8079470198675497,0.74096202746604
measurement-optimal,Huh7_Phase_A12_1_00d12h00m_1.tif,0.19013072456839397,53,5,22,0.7969924812030075,0.7669079999111672
connected components,Huh7_Phase_A12_1_00d12h00m_1.tif,0.19013072456839397,25,14,50,0.43859649122807015,0.7782119269593583
detection-optimal,MCF7_Phase_H4_1_00d20h00m_2.tif,0.191926697579764,178,27,28,0.8661800486618005,0.7817458187327382
balanced,MCF7_Phase_H4_1_00d20h00m_2.tif,0.191926697579764,157,23,49,0.8134715025906736,0.7845473897461034
measurement-optimal,MCF7_Phase_H4_1_00d20h00m_2.tif,0.191926697579764,123,24,83,0.6968838526912181,0.7957735712837761
connected components,MCF7_Phase_H4_1_00d20h00m_2.tif,0.191926697579764,9,30,197,0.07346938775510205,0.8164370357271911
detection-optimal,Huh7_Phase_A12_1_02d08h00m_2.tif,0.19465513685533423,41,25,11,0.6949152542372882,0.7828536592774927
balanced,Huh7_Phase_A12_1_02d08h00m_2.tif,0.19465513685533423,33,17,19,0.6470588235294118,0.7815144268078815
measurement-optimal,Huh7_Phase_A12_1_02d08h00m_2.tif,0.19465513685533423,21,9,31,0.5121951219512195,0.7738307449204923
connected components,Huh7_Phase_A12_1_02d08h00m_2.tif,0.19465513685533423,13,17,39,0.3170731707317073,0.797263575010321
detection-optimal,Huh7_Phase_A12_2_00d20h00m_4.tif,0.19683528381774212,53,23,14,0.7412587412587412,0.7819115454980844
balanced,Huh7_Phase_A12_2_00d20h00m_4.tif,0.19683528381774212,42,20,25,0.6511627906976745,0.8023440117148155
measurement-optimal,Huh7_Phase_A12_2_00d20h00m_4.tif,0.19683528381774212,37,12,30,0.6379310344827587,0.8133965831822707
connected components,Huh7_Phase_A12_2_00d20h00m_4.tif,0.19683528381774212,15,9,52,0.32967032967032966,0.8629727400331991
detection-optimal,A172_Phase_C7_1_00d08h00m_4.tif,0.1995755354021045,61,56,9,0.6524064171122995,0.817130474405199
balanced,A172_Phase_C7_1_00d08h00m_4.tif,0.1995755354021045,64,31,6,0.7757575757575758,0.8299280975798746
measurement-optimal,A172_Phase_C7_1_00d08h00m_4.tif,0.1995755354021045,65,16,5,0.8609271523178808,0.8186444779008424
connected components,A172_Phase_C7_1_00d08h00m_4.tif,0.1995755354021045,27,18,43,0.46956521739130436,0.8367053132855178
detection-optimal,SHSY5Y_Phase_A10_1_00d16h00m_1.tif,0.2043918718586144,140,94,69,0.6320541760722348,0.687275665483595
balanced,SHSY5Y_Phase_A10_1_00d16h00m_1.tif,0.2043918718586144,134,62,75,0.6617283950617284,0.6948088232814275
measurement-optimal,SHSY5Y_Phase_A10_1_00d16h00m_1.tif,0.2043918718586144,101,46,108,0.5674157303370787,0.7017422759212434
connected components,SHSY5Y_Phase_A10_1_00d16h00m_1.tif,0.2043918718586144,7,49,202,0.052830188679245285,0.7501037481631215
detection-optimal,SHSY5Y_Phase_A10_2_01d16h00m_4.tif,0.20691655935860756,93,89,73,0.5344827586206896,0.6904957675422382
balanced,SHSY5Y_Phase_A10_2_01d16h00m_4.tif,0.20691655935860756,91,56,75,0.5814696485623003,0.688187866238667
measurement-optimal,SHSY5Y_Phase_A10_2_01d16h00m_4.tif,0.20691655935860756,70,39,96,0.509090909090909,0.7058786041595633
connected components,SHSY5Y_Phase_A10_2_01d16h00m_4.tif,0.20691655935860756,12,58,154,0.1016949152542373,0.7397880661730688
